product_name,category,price,sales_volume,sales_growth,rating,review_count,trend_score,platform,image_url
防晒喷雾SPF50+,美妆护肤,99.9,15800,28.5,4.8,8500,92.5,AMAZON,https://example.com/product1.jpg
无线蓝牙耳机,电子产品,299.0,12500,15.2,4.6,6200,85.3,SHOPIFY,https://example.com/product2.jpg
智能手表Series 8,电子产品,1299.0,8900,32.8,4.9,12000,95.0,AMAZON,https://example.com/product3.jpg
美妆套装礼盒,美妆护肤,199.0,22000,12.1,4.7,9800,88.2,SHOPIFY,https://example.com/product4.jpg
家居收纳箱套装,家居用品,89.9,18500,5.5,4.5,4200,78.5,AMAZON,https://example.com/product5.jpg
空气炸锅,家居用品,399.0,6800,22.3,4.6,3500,82.1,SHOPIFY,https://example.com/product6.jpg
健身瑜伽垫,运动户外,69.0,15600,8.7,4.4,2800,75.3,AMAZON,https://example.com/product7.jpg
保温杯316不锈钢,家居用品,129.0,25000,18.5,4.7,7200,86.0,SHOPIFY,https://example.com/product8.jpg
男士护肤套装,美妆护肤,299.0,9800,25.0,4.5,5600,84.2,AMAZON,https://example.com/product9.jpg
便携充电宝20000mAh,电子产品,159.0,32000,10.2,4.6,15000,80.5,SHOPIFY,https://example.com/product10.jpg
